threshold,recall,precision,f1
0.0,1.0,0.7799043062200957,0.8763440860215054
0.01,1.0,0.8358974358974359,0.9106145251396648
0.02,1.0,0.8578947368421053,0.9235127478753541
0.03,1.0,0.8716577540106952,0.9314285714285714
0.04,1.0,0.8858695652173914,0.9394812680115274
0.05,1.0,0.8956043956043956,0.9449275362318841
0.06,1.0,0.9055555555555556,0.9504373177842566
0.07,0.9938650306748467,0.9204545454545454,0.9557522123893806
0.08,0.9938650306748467,0.9204545454545454,0.9557522123893806
0.09,0.9815950920245399,0.9195402298850575,0.9495548961424333
0.1,0.9815950920245399,0.9248554913294798,0.9523809523809523
0.11,0.9815950920245399,0.9248554913294798,0.9523809523809523
0.12,0.9815950920245399,0.9248554913294798,0.9523809523809523
0.13,0.9754601226993865,0.9298245614035088,0.9520958083832335
0.14,0.9693251533742331,0.9294117647058824,0.948948948948949
0.15,0.9631901840490797,0.9289940828402367,0.9457831325301205
0.16,0.9631901840490797,0.9289940828402367,0.9457831325301205
0.17,0.9631901840490797,0.9289940828402367,0.9457831325301205
0.18,0.9631901840490797,0.9289940828402367,0.9457831325301205
0.19,0.9631901840490797,0.9289940828402367,0.9457831325301205
0.2,0.9631901840490797,0.9345238095238095,0.9486404833836858
0.21,0.9631901840490797,0.9401197604790419,0.9515151515151515
0.22,0.9570552147239264,0.9454545454545454,0.9512195121951219
0.23,0.950920245398773,0.9451219512195121,0.9480122324159022
0.24,0.9447852760736196,0.9447852760736196,0.9447852760736196
0.25,0.9447852760736196,0.9447852760736196,0.9447852760736196
0.26,0.9447852760736196,0.9447852760736196,0.9447852760736196
0.27,0.9386503067484663,0.9444444444444444,0.9415384615384615
0.28,0.9386503067484663,0.9503105590062112,0.9444444444444444
0.29,0.9325153374233128,0.95,0.9411764705882353
0.3,0.9325153374233128,0.95,0.9411764705882353
0.31,0.9325153374233128,0.95,0.9411764705882353
0.32,0.9325153374233128,0.95,0.9411764705882353
0.33,0.9263803680981595,0.949685534591195,0.937888198757764
0.34,0.9263803680981595,0.949685534591195,0.937888198757764
0.35000000000000003,0.9263803680981595,0.949685534591195,0.937888198757764
0.36,0.9263803680981595,0.949685534591195,0.937888198757764
0.37,0.9263803680981595,0.949685534591195,0.937888198757764
0.38,0.9263803680981595,0.949685534591195,0.937888198757764
0.39,0.9263803680981595,0.949685534591195,0.937888198757764
0.4,0.9263803680981595,0.949685534591195,0.937888198757764
0.41000000000000003,0.9202453987730062,0.9493670886075949,0.9345794392523364
0.42,0.9202453987730062,0.9493670886075949,0.9345794392523364
0.43,0.9202453987730062,0.9493670886075949,0.9345794392523364
0.44,0.9141104294478528,0.9551282051282052,0.9341692789968652
0.45,0.9141104294478528,0.9551282051282052,0.9341692789968652
0.46,0.9141104294478528,0.9551282051282052,0.9341692789968652
0.47000000000000003,0.9141104294478528,0.9551282051282052,0.9341692789968652
0.48,0.9141104294478528,0.9551282051282052,0.9341692789968652
0.49,0.9141104294478528,0.9551282051282052,0.9341692789968652
0.5,0.9141104294478528,0.9551282051282052,0.9341692789968652
0.51,0.9141104294478528,0.9551282051282052,0.9341692789968652
0.52,0.9079754601226994,0.9548387096774194,0.9308176100628931
0.53,0.901840490797546,0.9545454545454546,0.9274447949526814
0.54,0.901840490797546,0.9545454545454546,0.9274447949526814
0.55,0.901840490797546,0.9607843137254902,0.930379746835443
0.56,0.901840490797546,0.9607843137254902,0.930379746835443
0.5700000000000001,0.901840490797546,0.9607843137254902,0.930379746835443
0.58,0.901840490797546,0.9607843137254902,0.930379746835443
0.59,0.901840490797546,0.9671052631578947,0.9333333333333333
0.6,0.901840490797546,0.9671052631578947,0.9333333333333333
0.61,0.901840490797546,0.9671052631578947,0.9333333333333333
0.62,0.901840490797546,0.9671052631578947,0.9333333333333333
0.63,0.8957055214723927,0.9668874172185431,0.9299363057324841
0.64,0.8895705521472392,0.9666666666666667,0.9265175718849841
0.65,0.8895705521472392,0.9666666666666667,0.9265175718849841
0.66,0.8895705521472392,0.9666666666666667,0.9265175718849841
0.67,0.8773006134969326,0.9662162162162162,0.9196141479099679
0.68,0.8711656441717791,0.9659863945578231,0.9161290322580645
0.6900000000000001,0.8711656441717791,0.9659863945578231,0.9161290322580645
0.7000000000000001,0.8711656441717791,0.9659863945578231,0.9161290322580645
0.71,0.8711656441717791,0.9659863945578231,0.9161290322580645
0.72,0.8711656441717791,0.9659863945578231,0.9161290322580645
0.73,0.8711656441717791,0.9659863945578231,0.9161290322580645
0.74,0.8711656441717791,0.9659863945578231,0.9161290322580645
0.75,0.8588957055214724,0.9722222222222222,0.9120521172638436
0.76,0.8466257668711656,0.971830985915493,0.9049180327868852
0.77,0.8466257668711656,0.971830985915493,0.9049180327868852
0.78,0.8404907975460123,0.9716312056737588,0.9013157894736842
0.79,0.8404907975460123,0.9716312056737588,0.9013157894736842
0.8,0.8343558282208589,0.9714285714285714,0.8976897689768977
0.81,0.8220858895705522,0.9781021897810219,0.8933333333333333
0.8200000000000001,0.8159509202453987,0.9779411764705882,0.8896321070234113
0.8300000000000001,0.8098159509202454,0.9777777777777777,0.8859060402684564
0.84,0.8098159509202454,0.9777777777777777,0.8859060402684564
0.85,0.803680981595092,0.9849624060150376,0.8851351351351351
0.86,0.7852760736196319,0.9846153846153847,0.8737201365187713
0.87,0.7852760736196319,0.9846153846153847,0.8737201365187713
0.88,0.7852760736196319,0.9846153846153847,0.8737201365187713
0.89,0.7791411042944786,0.9844961240310077,0.8698630136986302
0.9,0.7668711656441718,0.984251968503937,0.8620689655172413
0.91,0.7668711656441718,0.984251968503937,0.8620689655172413
0.92,0.7607361963190185,0.9841269841269841,0.8581314878892734
0.93,0.7484662576687117,0.991869918699187,0.8531468531468531
0.9400000000000001,0.7361963190184049,0.9917355371900827,0.8450704225352113
0.9500000000000001,0.7116564417177914,0.9914529914529915,0.8285714285714286
0.96,0.6932515337423313,0.9912280701754386,0.8158844765342961
0.97,0.6871165644171779,0.9911504424778761,0.8115942028985508
0.98,0.6257668711656442,0.9902912621359223,0.7669172932330827
0.99,0.5828220858895705,0.9895833333333334,0.7335907335907336
1.0,0.0,0.0,0.0
